,-E1_0,-E1_1,-E1_2,-E2_0,-E2_1,-E2_2,-E3_0,-E3_1,-E3_2,-E4_0,-E4_1,-E4_2,:Inter_0_0,:Inter_10_0,:Inter_11_0,:Inter_1_0,:Inter_2_0,:Inter_3_0,:Inter_4_0,:Inter_5_0,:Inter_6_0,:Inter_7_0,:Inter_8_0,:Inter_9_0,E1_0,E1_1,E1_2,E2_0,E2_1,E2_2,E3_0,E3_1,E3_2,E4_0,E4_1,E4_2
98,1,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,1,2,0,0,0,0,3,4,0,1,1,0,0,4,4,2,0,0
99,1,0,0,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,2,1,0,0,0,0,3,5,0,1,1,0,1,4,4,2,0,1
100,1,1,0,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,3,5,0,1,1,0,1,4,4,2,0,1
101,1,1,0,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,1,1,0,1,4,4,2,0,2
102,1,2,0,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,1,0,1,4,4,2,0,2
103,1,2,0,0,1,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,1,0,1,4,4,2,0,2
104,1,2,0,0,2,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,1,1,0,1,4,4,1,0,2
105,1,2,0,0,2,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,1,0,1,4,4,1,0,2
106,1,2,0,0,2,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,1,0,1,4,4,2,0,2
107,1,2,0,0,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,1,0,1,4,4,2,0,2
108,0,2,0,0,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,1,4,4,2,0,2
109,0,2,0,0,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,1,4,4,2,0,2
110,0,2,0,0,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,1,4,4,2,0,2
111,0,2,0,1,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,1,4,4,2,0,2
112,0,2,0,1,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,1,4,4,2,0,2
113,0,2,0,1,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,1,4,4,2,0,2
114,0,2,0,1,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,0,1,4,4,2,0,2
115,0,2,0,1,3,2,0,0,0,3,2,3,0,0,0,0,0,0,0,1,0,0,0,1,1,7,2,0,0,0,1,4,4,2,0,2
116,0,2,0,1,3,2,0,0,0,2,2,3,0,0,0,0,0,0,0,1,1,0,0,0,1,7,2,0,0,0,1,4,4,3,0,2
117,0,2,0,1,3,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,7,2,0,0,0,1,4,4,2,0,3
118,0,2,0,1,2,1,0,0,0,2,2,3,0,0,0,0,0,0,1,1,0,0,0,1,0,7,2,1,0,0,1,4,4,2,0,3
119,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,1,1,1,0,0,0,0,7,2,1,0,0,1,4,4,3,0,2
120,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,2,0,0,1,4,4,3,1,2
121,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,1,4,4,3,1,2
122,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,1,4,4,3,1,2
123,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,1,4,4,3,1,2
124,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,1,5,4,2,2,2
125,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,1,0,1,5,4,2,1,2
126,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,0,1,5,4,2,1,2
127,0,1,0,1,2,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,0,1,5,4,2,1,2
128,0,1,0,1,2,1,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,0,0,5,4,2,1,2
129,0,1,0,1,1,1,0,0,0,1,2,4,1,0,0,0,0,0,1,0,0,0,0,0,1,8,3,1,1,0,0,5,4,1,1,2
130,1,1,0,1,1,1,0,0,0,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,8,3,1,1,0,0,5,4,1,1,2
131,1,1,0,1,1,1,0,0,0,0,3,4,0,0,0,0,0,0,1,0,1,0,0,0,1,8,3,1,1,0,0,5,4,1,1,2
132,1,2,0,1,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,2,1,0,0,5,4,1,1,2
133,1,2,0,2,0,1,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,8,3,2,1,0,0,5,4,1,1,2
